altitude_m,ambient_temp_c,pressure_kpa,load_current_a,vibration_g,operating_hours,internal_temp_c,dielectric_margin,health_status
6193.3,5.0,45.94,44.97,4.6,1934.4,249.9,8.36,2
6293.8,-27.5,45.31,33.64,3.08,376.2,136.7,10.38,2
5350.4,-11.5,51.54,18.55,4.06,4065.5,55.4,18.05,1
2327.7,6.3,76.31,44.9,1.98,2902.4,195.8,13.9,2
1086.0,32.7,88.94,15.99,2.41,1186.4,74.1,34.22,0
4605.4,14.6,56.93,29.01,4.36,4474.5,133.7,14.59,2
3140.9,29.2,68.86,6.79,2.13,235.8,43.4,41.02,0
1232.2,17.2,87.37,46.25,2.72,1017.1,201.9,15.53,2
3471.1,4.4,66.01,8.76,0.2,3762.7,25.1,35.19,0
706.3,-25.6,93.12,12.8,0.88,3549.8,4.0,40.85,0
5955.9,10.0,47.47,28.79,3.24,1453.5,139.0,12.24,2
2052.7,6.8,78.98,38.68,3.61,319.5,158.0,16.22,2
4475.1,5.2,57.92,31.73,2.95,4291.8,139.0,13.88,2
2370.3,-3.3,75.91,13.14,0.8,1575.4,30.8,32.8,0
3620.4,-0.4,64.75,2.05,2.28,986.6,2.4,53.76,0
3780.3,-14.9,63.43,38.34,1.84,2585.1,151.8,13.12,2
1609.1,-1.1,83.43,49.29,2.53,4552.0,205.6,14.07,2
6317.5,-25.2,45.16,40.88,4.36,227.3,190.9,8.88,2
5150.8,20.4,52.94,24.09,3.9,3831.4,115.6,15.53,2
6137.0,-26.1,46.3,45.38,0.51,2866.6,221.0,8.36,2
5869.0,-33.6,48.03,21.67,4.46,2133.0,52.6,15.17,2
4087.4,-7.3,60.94,27.2,2.41,3723.0,97.9,16.38,2
6031.2,9.4,46.98,24.9,3.74,4829.5,115.2,13.46,2
1031.0,-7.2,89.54,23.49,0.79,1153.7,63.5,26.74,1
1675.9,-19.2,82.75,39.21,3.39,726.8,131.4,16.82,2
771.4,1.9,92.4,27.28,1.26,4565.3,87.6,24.78,1
2452.0,-14.0,75.13,17.2,2.25,3348.1,35.9,27.62,1
2832.1,30.0,71.62,14.39,0.18,2195.6,69.8,29.36,1
2128.1,29.2,78.24,3.81,0.84,2870.6,35.1,56.65,0
5472.4,-2.3,50.7,29.99,0.55,3730.6,129.9,12.68,2
2640.5,-15.4,73.37,13.04,1.27,3867.4,18.8,31.85,0
2185.6,15.3,77.68,9.11,0.59,4600.3,35.4,40.65,0
3756.2,-37.2,63.62,33.38,3.49,2139.9,99.9,14.67,2
1345.5,-4.4,86.17,34.7,0.24,1474.1,120.0,19.28,2
5313.2,-14.8,51.8,38.1,3.13,3201.9,168.1,10.77,2
947.3,29.0,90.45,26.17,0.79,2084.5,110.8,25.01,2
6421.3,-39.1,44.52,44.91,4.73,2977.0,209.2,8.11,2
5133.5,1.5,53.06,46.94,4.67,2105.7,243.4,9.32,2
1692.3,15.5,82.58,40.75,1.2,773.4,174.7,16.27,2
533.1,-3.6,95.08,32.51,3.11,2352.4,104.4,22.37,1
5392.8,-33.6,51.24,16.58,0.24,3457.7,23.7,19.28,2
4741.1,32.9,55.91,49.18,4.67,3998.4,284.5,9.45,2
4874.0,-1.1,54.94,15.16,2.66,2471.7,47.7,21.84,1
5127.6,6.1,53.1,11.73,0.31,834.5,40.8,24.44,1
944.3,-22.3,90.48,23.22,1.78,2079.3,46.9,27.23,1
2650.8,-3.7,73.28,4.73,0.48,3933.6,4.5,49.75,0
1195.2,-7.8,87.77,48.97,2.03,2070.2,191.8,14.88,2
5678.6,-34.4,49.3,30.24,3.38,3485.7,101.3,12.25,2
4239.8,-32.0,59.74,28.73,2.4,2541.0,82.7,15.42,2
2485.4,22.8,74.82,33.48,1.98,1213.7,149.8,17.21,2
881.4,-22.0,91.18,25.86,0.68,3982.8,58.1,25.43,1
2365.9,-25.4,75.95,3.54,1.3,430.2,-20.0,56.1,0
2451.1,-2.1,75.14,31.39,0.59,2629.2,113.6,18.15,2
4877.6,17.7,54.91,36.38,4.06,1052.4,184.1,11.84,2
4325.3,-35.4,59.07,22.0,0.76,344.7,44.0,18.46,2
5823.3,3.3,48.34,38.35,3.02,2519.6,194.3,10.0,2
3333.3,-31.1,67.19,12.9,1.78,2502.8,4.2,29.34,2
1217.6,-37.3,87.53,12.62,1.21,3537.4,-7.3,38.69,2
4779.5,-36.0,55.63,9.75,3.23,3726.3,-9.9,28.17,2
5064.7,22.6,53.55,19.86,2.34,3641.7,94.8,17.94,0
3867.7,-31.2,62.71,42.66,2.06,2053.7,163.5,11.91,2
5125.8,-36.6,53.12,41.74,3.0,3162.1,168.5,10.27,2
3462.8,-7.2,66.08,20.38,2.51,2889.0,60.2,21.75,1
3636.4,23.3,64.62,30.28,1.59,2113.6,142.0,16.04,2
3065.2,-20.3,69.53,36.6,2.84,2990.1,128.9,14.92,2
652.5,-8.4,93.73,13.58,3.38,4736.8,23.7,39.75,0
1147.3,-37.0,88.28,10.07,0.23,972.5,-15.3,43.98,2
688.6,-6.3,93.32,48.66,2.38,4529.8,185.6,15.91,2
4318.5,3.3,59.12,31.64,0.38,276.7,135.3,14.2,2
2386.1,2.8,75.76,49.11,1.01,1548.9,218.5,12.82,2
3551.4,-15.1,65.33,18.21,2.85,1447.8,42.9,23.16,1
5945.4,-16.3,47.54,35.75,4.34,3135.6,158.2,10.39,2
1995.8,-32.0,79.54,12.68,4.43,664.8,-0.4,35.06,2
2962.3,-12.5,70.45,14.54,0.44,4412.9,28.2,28.71,1
5033.3,-32.5,53.78,26.57,2.15,4144.5,75.8,14.71,2
1872.8,17.5,80.76,17.34,2.96,3263.8,66.1,29.54,1
961.9,32.5,90.29,10.05,0.82,2297.5,53.9,45.04,2
2238.5,32.8,77.17,14.62,3.85,4665.5,71.9,31.35,1
1467.3,24.9,84.9,3.72,3.75,4155.4,30.4,61.9,0
6078.2,5.1,46.68,35.81,4.53,2501.6,181.7,10.19,2
5348.7,12.6,51.55,25.62,0.14,3512.3,117.7,14.47,2
4300.4,-18.6,59.26,6.52,1.16,2839.0,-4.2,35.87,0
5728.8,7.3,48.96,10.24,4.15,2943.8,37.2,24.19,1
5322.0,-5.8,51.74,6.92,3.39,1661.6,11.0,30.57,0
1619.4,-3.8,83.32,31.4,4.48,2315.8,106.1,20.12,2
5855.4,16.8,48.12,6.52,0.38,399.8,32.9,29.13,1
3736.1,-18.9,63.79,38.21,3.03,1793.2,146.5,13.23,2
5344.6,-16.1,51.58,2.98,2.89,3482.2,-11.0,39.72,0
5876.5,29.3,47.99,13.97,0.27,4766.5,76.0,20.02,1
2408.0,-35.8,75.55,44.75,2.62,4815.7,153.9,13.8,1
1160.3,-3.6,88.14,36.49,3.09,2783.1,128.4,18.96,2
1867.6,28.5,80.81,5.5,1.04,3037.0,38.2,52.13,0
3062.6,5.8,69.55,41.41,1.44,936.7,183.1,13.53,2
5408.1,1.0,51.14,25.67,3.24,3479.6,106.8,14.34,2
5664.4,-21.3,49.39,42.65,2.39,362.6,198.0,9.38,2
541.7,-14.3,94.98,30.84,4.3,1430.6,86.2,23.26,1
3564.5,23.9,65.22,34.73,1.78,3345.1,167.0,14.58,2
3004.5,1.9,70.07,49.69,1.41,1558.4,229.9,11.74,2
1832.6,-1.4,81.16,13.15,4.93,258.7,31.6,35.06,1
1219.2,-32.5,87.51,31.95,4.56,4161.0,77.4,20.86,2
2525.7,-38.8,74.44,24.1,0.24,1558.5,41.5,21.83,2
6157.5,32.3,46.17,3.89,3.88,324.9,40.2,33.23,1
2439.2,-11.7,75.25,2.69,0.64,383.2,-8.0,59.28,0
3612.7,5.2,64.82,7.72,0.23,1266.3,22.7,36.57,0
4718.1,-34.0,56.09,33.16,1.44,898.3,110.6,13.0,2
2681.8,11.2,72.99,29.22,1.42,3873.8,117.5,18.61,2
6330.7,29.9,45.08,28.56,4.11,1615.2,160.9,11.69,2
6274.7,3.2,45.43,3.53,3.58,4025.4,10.2,33.58,0
2010.7,-30.5,79.39,24.53,4.91,877.5,49.2,22.99,2
3483.5,3.6,65.9,46.38,3.59,2469.5,217.1,11.69,2
2305.3,17.5,76.53,21.08,2.15,3443.3,83.2,24.62,1
2209.0,-9.5,77.45,32.0,3.52,3263.4,107.6,18.44,2
721.3,26.0,92.95,39.43,5.0,3009.6,169.2,18.8,2
4157.4,8.7,60.39,39.63,3.58,4624.9,187.6,12.17,2
3516.1,27.4,65.63,26.93,3.83,1150.3,127.4,17.77,2
808.9,6.8,91.98,43.18,4.7,2473.7,170.3,17.3,2
2171.9,-30.2,77.81,20.79,0.66,4421.1,33.7,25.28,2
5949.6,-16.8,47.51,44.66,3.55,398.7,221.7,8.69,2
1937.4,-24.9,80.12,13.53,4.27,288.9,9.6,34.05,1
1369.4,28.2,85.92,15.45,4.78,1174.2,68.3,33.76,1
3436.7,17.0,66.3,4.55,1.13,3168.8,25.3,45.57,0
6413.9,10.7,44.56,40.19,2.57,1306.8,223.1,8.88,2
1952.3,-17.4,79.97,22.02,3.43,959.3,50.9,24.98,1
4532.8,-26.2,57.48,13.0,1.31,2299.4,12.3,24.99,1
5069.7,16.7,53.52,13.13,3.04,3071.9,57.2,23.14,1
1925.8,-4.4,80.23,45.27,1.36,1250.3,182.6,14.52,2
4869.3,-23.1,54.97,42.03,1.73,1510.4,180.6,10.57,2
2706.7,6.2,72.76,28.57,2.26,3071.7,109.3,18.87,2
4293.8,-37.0,59.32,31.57,2.69,4729.2,94.4,14.27,2
4301.2,-15.5,59.26,24.77,2.3,3377.0,78.0,17.04,2
3714.6,-4.9,63.97,20.8,2.52,3916.7,65.7,20.77,1
1041.7,-28.9,89.42,45.94,1.56,1840.4,152.0,15.98,2
5511.8,33.8,50.43,8.03,0.88,1368.5,54.8,27.97,1
2424.7,-24.3,75.39,22.09,0.33,2276.8,46.3,23.5,1
1619.1,-30.2,83.33,18.54,1.06,4037.6,22.4,29.2,2
744.7,-24.7,92.69,25.91,2.95,2286.9,54.9,25.81,1
4045.4,17.7,61.28,23.97,3.95,4235.2,105.5,18.04,2
4565.4,-8.1,57.23,26.91,0.93,4944.0,98.8,15.51,2
599.5,2.4,94.33,8.72,0.63,369.4,19.6,50.4,0
3572.6,-38.4,65.15,26.63,3.77,236.6,60.3,17.79,2
1859.0,-37.4,80.9,13.64,1.6,756.5,-2.7,34.23,2
4371.0,-6.6,58.72,10.85,4.76,1928.0,23.0,28.16,1
1546.2,21.2,84.08,5.11,3.6,663.9,29.9,55.64,0
4645.6,26.4,56.63,38.61,1.7,4354.6,204.5,11.65,2
2820.4,-33.5,71.72,22.52,1.52,125.5,40.9,22.06,2
6120.4,0.4,46.41,32.08,2.67,1585.8,152.2,11.03,2
1325.1,28.5,86.39,36.92,0.49,931.6,164.0,18.41,2
2546.4,-10.9,74.25,34.61,0.68,4658.4,122.6,16.64,2
1180.8,22.2,87.92,24.58,0.96,3350.7,98.2,25.42,2
6048.2,-30.0,46.87,20.62,3.9,4561.0,51.4,15.31,2
5764.0,30.2,48.73,20.05,2.62,4861.9,106.9,16.22,2
2047.6,16.4,79.03,32.72,0.15,2490.5,136.0,18.5,2
4459.9,30.6,58.03,25.75,3.4,1179.3,130.4,16.23,2
5403.3,10.7,51.17,42.76,2.18,976.7,227.0,9.7,2
3831.2,-12.7,63.01,43.99,2.6,1122.4,190.0,11.67,2
3677.9,30.4,64.27,10.19,1.15,3545.9,56.3,31.84,0
1951.1,-19.3,79.98,8.54,2.8,211.8,-1.2,43.14,0
1058.6,-15.1,89.24,32.26,4.9,266.3,95.3,21.12,1
5883.3,12.6,47.94,16.46,0.46,3044.6,71.2,18.12,1
5902.5,17.4,47.82,2.89,1.49,3213.9,22.5,37.09,0
4298.6,29.7,59.28,44.65,1.29,3329.7,243.2,10.85,2
2534.2,-24.6,74.36,12.89,1.32,1865.7,8.8,32.49,0
2595.3,19.8,73.79,46.61,1.96,4031.7,223.0,13.04,2
4855.7,15.4,55.07,36.44,4.11,2672.8,182.0,11.86,2
5882.7,-35.2,47.95,38.61,4.57,536.3,158.4,9.86,2
5822.5,-11.0,48.34,11.67,1.09,3987.5,25.2,22.31,2
5179.3,-18.8,52.74,13.24,2.76,4765.8,22.5,22.69,1
4352.2,-17.2,58.86,27.02,3.22,309.6,88.9,15.9,2
1004.8,33.7,89.82,10.26,2.66,1962.8,55.8,44.33,0
1469.8,8.2,84.87,16.66,2.23,2442.7,53.1,31.83,0
5891.3,13.8,47.89,17.43,1.04,740.9,77.5,17.46,0
4138.6,33.2,60.54,9.66,2.49,4339.9,58.0,30.79,0
555.2,-11.7,94.83,11.85,2.07,1427.9,14.6,43.4,0
1108.8,20.1,88.69,39.85,4.0,3917.2,168.9,17.79,2
4481.0,-7.4,57.87,10.03,3.84,3358.3,19.3,28.9,1
530.4,25.2,95.11,3.37,0.76,2994.2,29.7,71.16,0
1464.8,-26.5,84.92,32.21,0.53,968.8,86.4,20.12,1
3792.4,31.1,63.33,48.85,4.55,1111.3,265.2,10.76,2
4651.4,-23.6,56.58,17.9,2.72,246.3,37.2,20.28,1
4411.8,-15.5,58.4,7.7,4.3,1211.2,2.8,33.0,1
1845.6,16.7,81.03,29.38,0.38,1733.8,118.3,20.58,2
4773.1,-10.5,55.68,45.51,2.68,4167.4,215.7,10.03,2
1923.5,5.6,80.25,39.63,2.74,1838.3,160.9,16.17,2
2452.4,-6.7,75.13,31.88,4.32,3775.6,111.6,17.94,2
4978.9,15.7,54.17,17.12,0.58,2202.8,74.0,19.97,1
4397.8,-22.9,58.51,28.01,1.28,3926.5,89.0,15.39,2
5595.3,-35.6,49.86,6.38,2.09,4881.6,-20.3,30.44,2
4445.7,-17.5,58.14,34.59,4.34,1206.8,133.2,13.04,2
3909.9,-4.4,62.37,36.8,4.7,4313.1,154.3,13.33,2
1062.0,-27.4,89.2,48.32,4.96,3112.9,166.9,15.29,2
2706.3,-13.4,72.77,14.5,4.8,4088.3,26.5,29.7,1
2091.2,-10.0,78.6,2.89,0.13,3261.4,-6.0,61.0,0
1963.9,-35.7,79.85,28.19,0.33,2125.5,60.9,20.91,2
6338.1,3.7,45.03,35.93,0.82,1148.1,184.4,9.81,2
2858.6,26.3,71.38,39.94,1.81,359.5,192.7,14.29,2
5852.3,-28.6,48.14,11.3,4.17,2682.2,6.0,22.6,2
4286.8,4.8,59.37,14.56,4.47,4951.7,49.3,24.17,1
5268.9,9.9,52.11,26.6,1.02,3692.8,120.1,14.24,2
3515.8,-8.5,65.63,17.87,3.14,1643.5,47.7,23.55,1
3961.4,12.6,61.95,43.3,4.6,4137.8,212.6,11.62,2
3455.1,-9.2,66.14,24.74,2.37,3847.2,79.2,19.04,1
1671.5,-2.2,82.79,40.38,0.61,1415.4,154.7,16.43,2
4834.7,-39.4,55.22,29.87,2.34,81.4,86.5,13.85,2
2184.6,11.9,77.69,39.11,1.94,599.6,166.7,15.82,2
645.9,9.6,93.8,17.97,2.93,4387.8,57.0,33.54,0
4372.8,-37.1,58.7,41.91,2.25,4184.4,159.1,11.31,2
1562.7,-12.4,83.91,15.18,0.18,1483.1,27.2,33.32,0
6142.8,33.4,46.26,28.21,4.97,1433.1,160.5,12.11,2
6223.6,-8.4,45.75,12.27,2.76,3966.4,31.4,20.54,1
5989.2,-2.4,47.25,24.83,2.42,4689.3,102.7,13.57,2
2721.0,28.2,72.63,17.27,4.78,3897.9,79.3,26.63,1
592.7,13.8,94.4,14.8,0.86,3031.8,49.8,38.06,0
6069.9,3.7,46.73,48.42,1.03,1220.9,272.9,8.0,2
3069.1,19.8,69.49,9.68,4.06,2633.5,43.0,35.31,1
6299.9,24.8,45.27,39.79,1.38,1175.2,232.7,9.09,2
6281.7,-5.7,45.39,49.24,4.02,4042.0,274.0,7.66,2
5618.1,-4.4,49.7,2.96,1.43,1940.9,0.8,38.37,0
2266.7,-11.0,76.9,35.55,0.26,4170.1,125.2,16.88,2
2810.6,32.5,71.81,14.14,2.63,1914.2,71.3,29.75,1
5606.8,12.3,49.78,3.94,1.06,4122.5,20.1,35.7,0
2401.5,-33.8,75.61,21.34,3.81,1673.3,33.5,24.13,2
1517.0,24.7,84.38,46.89,3.24,2206.3,216.3,14.83,2
3840.8,-4.0,62.93,2.56,4.63,3081.3,-0.2,50.08,1
6116.9,-34.8,46.43,30.22,3.94,360.7,104.8,11.54,2
4676.2,1.2,56.4,26.07,0.99,4741.6,104.2,15.64,2
3920.4,-8.7,62.28,43.92,4.02,2872.3,194.8,11.55,2
1083.1,25.8,88.97,6.03,3.24,2544.0,36.4,55.5,0
4190.0,-24.7,60.13,34.71,3.38,4198.6,124.3,13.45,2
6440.3,22.0,44.4,34.65,4.18,4330.2,194.9,9.95,2
1340.5,1.8,86.22,34.12,2.91,2616.1,123.2,19.54,2
3610.0,-35.9,64.84,47.23,2.38,4637.0,184.9,11.33,2
5764.2,32.9,48.73,41.51,3.22,333.0,245.4,9.46,2
4944.6,-1.6,54.42,4.01,1.56,575.0,6.1,38.83,0
4682.1,-18.2,56.35,24.61,0.99,2988.0,76.9,16.28,2
4714.9,-4.8,56.11,21.1,3.12,1776.8,72.0,18.04,1
2656.9,24.3,73.22,16.89,1.25,2326.5,73.6,27.23,1
2261.6,-17.1,76.95,23.66,0.49,1647.1,59.9,22.86,1
5356.2,-25.5,51.5,20.44,0.1,2029.6,51.1,16.92,2
5360.7,-30.3,51.47,22.75,3.08,4115.0,58.8,15.71,2
5702.4,-17.7,49.14,49.0,1.87,2971.4,249.4,8.33,2
5979.4,18.5,47.31,6.25,3.79,4986.7,33.7,29.11,1
3568.1,-4.6,65.19,46.27,1.94,3936.5,209.3,11.59,2
3509.1,-22.9,65.69,25.05,2.48,1375.6,67.3,18.74,1
5289.8,-27.5,51.96,31.94,2.09,1329.1,115.1,12.39,2
4399.8,-15.0,58.5,41.85,3.29,1686.1,181.2,11.28,2
4711.8,30.5,56.13,19.3,1.85,4217.9,98.3,19.16,1
5274.8,-14.3,52.07,22.66,4.82,146.2,73.8,15.94,2
5840.0,34.1,48.23,21.66,4.69,1158.6,120.0,15.23,2
2528.0,-3.6,74.42,19.99,4.26,4525.5,58.2,24.82,1
2753.5,-26.6,72.33,46.43,4.61,3203.1,177.5,12.82,2
1063.9,26.8,89.18,41.79,2.3,1142.0,185.4,17.22,2
3969.7,-5.5,61.88,7.23,2.73,1103.5,10.9,35.91,0
715.7,13.2,93.02,7.19,3.74,4314.5,26.4,54.11,0
3293.6,33.8,67.53,22.54,3.51,4469.8,110.6,20.75,2
3755.9,-36.2,63.63,6.74,4.46,1288.1,-21.7,38.02,2
2219.2,-32.7,77.35,31.72,3.61,2108.3,83.0,18.54,2
4045.0,14.0,61.28,8.9,4.99,4174.6,36.0,32.43,1
683.0,-18.9,93.38,27.07,1.81,3857.3,65.5,25.19,1
724.1,-26.2,92.92,2.35,4.18,4071.4,-23.4,75.26,1
5435.6,-37.0,50.95,17.2,3.52,2596.8,23.5,18.73,2
2661.1,-38.4,73.18,34.51,3.49,4558.6,95.5,16.44,2
1262.4,18.1,87.05,25.23,1.7,1636.5,97.3,24.71,1
3633.5,-29.9,64.64,48.96,3.95,791.8,202.6,10.96,2
5120.0,-4.9,53.16,43.96,4.51,3546.6,215.6,9.85,2
1794.9,5.4,81.54,19.24,1.17,2701.4,61.4,27.89,1
4237.3,-7.9,59.76,4.18,3.16,4274.4,-0.1,42.13,0
1012.1,-38.0,89.74,42.59,2.02,415.0,124.4,17.06,2
810.1,18.8,91.96,45.74,4.95,4220.0,196.0,16.5,2
3688.1,-39.2,64.19,41.39,2.45,1473.5,145.2,12.49,2
3743.8,17.1,63.73,8.14,1.22,3277.7,36.1,35.13,0
4324.6,27.0,59.08,49.9,1.97,210.2,276.8,9.86,2
4856.5,-7.5,55.06,14.41,3.3,3051.8,37.9,22.56,1
6355.1,0.2,44.93,36.76,0.47,3589.2,186.9,9.61,2
3597.8,-4.2,64.94,45.59,3.06,1850.1,205.7,11.68,2
2437.7,-10.8,75.27,13.31,4.66,1084.9,24.0,32.29,1
5271.1,26.6,52.09,45.6,4.27,2692.8,261.0,9.37,2
2125.0,27.0,78.27,16.86,0.43,4167.6,74.5,29.14,1
3133.8,-14.8,68.92,48.87,4.97,1624.5,209.8,11.71,2
970.7,6.1,90.19,15.5,3.52,1269.8,45.5,35.37,0
652.1,29.5,93.73,47.76,0.9,1401.9,216.1,16.23,2
6275.9,32.2,45.42,4.57,0.16,4746.2,42.2,31.18,0
5515.9,-1.8,50.4,36.05,0.94,1802.8,169.7,10.95,2
4675.8,-6.0,56.4,27.54,4.21,28.0,105.2,15.02,2
2953.7,-19.1,70.52,24.94,0.21,3910.6,67.5,20.18,1
1539.8,31.9,84.14,12.73,1.24,3499.4,62.8,37.02,0
1438.6,-29.3,85.19,35.87,3.81,651.6,101.7,18.57,1
2001.5,3.5,79.48,11.16,2.97,4924.7,29.9,37.56,0
3795.4,-18.8,63.3,28.54,3.94,3044.2,91.5,16.43,2
4787.6,-19.1,55.57,14.16,3.76,2508.9,25.1,23.01,1
4461.2,-9.6,58.02,47.87,0.35,1917.3,228.2,10.03,2
2179.6,34.9,77.74,3.37,4.47,4494.4,39.9,58.13,1
6229.2,-35.9,45.72,11.59,1.21,1227.4,0.9,21.18,2
4927.4,3.4,54.55,13.63,2.81,1436.0,45.6,23.08,0
3826.1,-33.8,63.05,21.88,3.26,620.8,42.4,19.78,2
4170.3,-28.4,60.28,13.17,0.93,3798.0,9.9,26.02,1
3017.6,-7.0,69.95,25.58,4.88,2981.8,83.1,19.66,1
1986.4,-1.7,79.63,43.88,2.49,3049.2,178.0,14.78,2
2635.8,-20.6,73.42,36.18,0.38,1100.2,122.3,15.9,2
5047.1,-16.3,53.68,29.84,4.69,3259.3,111.3,13.47,2
586.4,-33.5,94.48,6.27,2.97,3829.6,-22.6,58.06,2
1196.4,-17.3,87.75,35.31,3.53,1795.9,109.0,19.37,2
776.0,32.5,92.34,9.99,2.67,4008.7,53.5,46.2,0
744.4,30.9,92.7,39.75,4.19,1750.5,175.9,18.63,2
5632.8,-14.9,49.61,14.0,0.26,3793.1,31.1,20.67,1
4721.9,2.8,56.06,22.02,1.42,178.3,84.4,17.51,2
3345.0,28.2,67.09,18.82,2.4,2760.3,88.1,23.28,1
1087.0,-39.5,88.93,43.22,0.48,4847.9,127.0,16.71,2
3449.7,20.8,66.19,8.07,3.56,4906.4,39.2,36.62,0
3340.8,31.1,67.12,29.15,2.03,1415.9,141.5,17.14,2
1539.2,-33.2,84.15,8.82,1.44,2212.6,-14.7,44.72,2
3103.1,-27.9,69.19,35.83,0.12,324.3,117.3,15.1,2
2891.0,32.1,71.09,45.44,3.63,4368.0,231.8,12.82,2
4195.1,0.3,60.09,22.86,4.19,2847.2,83.4,18.29,1
4310.6,-38.9,59.19,25.43,2.04,1931.7,58.2,16.71,1
771.8,-20.7,92.39,46.52,2.86,572.7,160.4,16.35,2
2747.7,-6.3,72.39,27.01,1.22,4734.4,89.3,19.56,1
4255.2,12.0,59.62,25.4,3.15,2655.8,108.6,16.84,2
3518.8,15.0,65.6,29.76,0.16,1421.8,130.0,16.5,2
5638.9,34.7,49.56,35.08,2.49,1757.6,201.2,10.99,2
4452.2,-18.4,58.09,7.13,3.26,1360.8,-1.9,33.91,0
1477.6,0.4,84.79,41.41,4.6,3013.0,161.0,16.49,2
923.4,-0.0,90.71,22.9,1.97,4650.5,67.8,27.57,1
4354.5,-9.6,58.85,5.47,3.85,4284.9,1.8,38.03,1
659.1,-27.3,93.65,39.74,3.03,2307.3,116.9,18.83,2
4014.7,33.3,61.52,20.09,4.64,4134.2,101.8,20.44,1
6141.4,24.0,46.27,6.82,2.05,2121.3,41.4,27.51,1
3952.8,-2.6,62.02,32.42,1.66,1269.0,130.7,14.62,2
2829.0,5.2,71.65,44.25,4.45,4917.2,196.9,13.21,2
4359.7,-23.0,58.8,44.61,0.34,1526.4,191.1,10.77,2
3249.5,0.8,67.91,47.97,0.77,1625.4,221.2,11.72,2
3773.7,12.1,63.48,43.65,0.5,4948.6,211.9,11.83,2
6148.8,-1.4,46.23,2.1,4.23,678.3,2.0,38.19,1
2816.6,34.3,71.76,20.25,0.15,3805.1,98.4,23.72,1
6267.1,5.9,45.48,41.29,4.32,4679.7,224.2,8.87,2
5932.1,-12.2,47.62,19.58,2.31,2563.9,62.9,16.1,2
1674.7,17.9,82.76,30.87,0.12,22.6,125.7,20.25,2
916.2,-27.2,90.79,31.1,2.07,1881.5,76.7,22.09,1
1104.7,-11.2,88.74,19.52,1.02,566.7,43.6,30.06,0
609.3,-14.0,94.22,45.41,3.16,2086.8,159.4,17.0,2
1066.7,-7.6,89.15,26.15,3.43,3952.2,74.7,24.66,1
4598.0,18.6,56.99,24.31,2.49,2199.2,111.6,16.61,0
927.1,-3.7,90.67,49.88,0.3,2165.3,197.8,15.14,2
2413.9,19.6,75.49,25.69,3.32,2788.4,106.8,21.15,2
5569.3,3.2,50.04,10.56,4.23,2912.6,34.1,24.33,1
639.6,-14.3,93.87,26.63,3.63,4282.9,67.9,25.63,1
5386.8,20.7,51.29,41.07,4.17,1548.7,224.9,10.04,2
2191.1,-22.1,77.63,39.29,1.08,4110.1,133.8,15.75,2
1209.0,-23.2,87.62,39.85,4.46,2834.0,126.5,17.58,2
